Model,Demand R2,Demand NMAE,Price R2,Price NMAE,Avg R2
ANN,0.6926,0.0689,0.4848,0.1013,0.5887
XGBoost,0.6842,0.069,0.4852,0.1014,0.5847
Linear Regression,0.6016,0.0802,0.5372,0.0944,0.5694
Bayesian Ridge,0.6016,0.0802,0.5373,0.0944,0.5694
Random Forest,0.6767,0.0697,0.453,0.1042,0.5649
Decision Tree,0.6516,0.0711,0.4043,0.1063,0.528
KNN,-0.0693,0.131,-0.8782,0.2019,-0.4738
