antecedents,consequents,support,confidence,lift
"demand_HIGH, fossil_LOW",renewable_HIGH,0.05264359940618933,0.9951430113329736,2.985429033998921
"demand_HIGH, renewable_LOW",fossil_HIGH,0.09101290396254424,0.9882207067575945,2.9649160527884386
"demand_LOW, renewable_LOW",time_NIGHT,0.0999486125385406,0.7304402253286042,2.9200936102271564
"demand_LOW, renewable_HIGH",fossil_LOW,0.10117620189562636,0.9688354291962822,2.905510908723234
time_NIGHT,"demand_LOW, is_WEEKDAY",0.14616877926230445,0.5843414745491897,2.8865199789182086
"demand_LOW, is_WEEKDAY",time_NIGHT,0.14616877926230445,0.7220420251022424,2.8865199789182086
"renewable_HIGH, time_NIGHT",fossil_LOW,0.06058010734269727,0.9554254840162089,2.8652948505239526
time_NIGHT,"demand_LOW, price_LOW",0.12601347493433823,0.5037662634101803,2.8387909708384482
"demand_LOW, price_LOW",time_NIGHT,0.12601347493433823,0.71010296010296,2.8387909708384482
"is_WEEKEND, time_NIGHT",demand_LOW,0.06697499143542308,0.9357798165137613,2.807339449541284
"fossil_LOW, time_NIGHT",demand_LOW,0.1013189448441247,0.9280857740585774,2.7842573221757325
"fossil_LOW, time_AFTERNOON",renewable_HIGH,0.0722850291195615,0.9203925845147221,2.761177753544166
"demand_LOW, season_WINTER",time_NIGHT,0.054128126070572116,0.6904588492352512,2.760259366698514
"price_LOW, renewable_HIGH",fossil_LOW,0.1505081648966541,0.9122685585741478,2.7358684135047304
"demand_LOW, fossil_MED",time_NIGHT,0.09272581934452438,0.6813509544787079,2.7238485772061374
"price_LOW, time_NIGHT",demand_LOW,0.12601347493433823,0.9019207192480588,2.705762157744177
"demand_MED, fossil_LOW",renewable_HIGH,0.09834989151535914,0.8941084868933299,2.68232546067999
"season_SPRING, time_NIGHT",demand_LOW,0.05538426401735754,0.8802177858439202,2.6406533575317606
"renewable_MED, time_NIGHT",demand_LOW,0.057668151193331046,0.8782608695652174,2.6347826086956525
"renewable_HIGH, time_NIGHT",demand_LOW,0.055527006965855885,0.8757316524088248,2.6271949572264743
"season_WINTER, time_NIGHT",demand_LOW,0.054128126070572116,0.8753462603878117,2.626038781163435
"season_AUTUMN, time_NIGHT",demand_LOW,0.05447070914696814,0.8736263736263736,2.620879120879121
"fossil_MED, time_NIGHT",demand_LOW,0.09272581934452438,0.8714784008585994,2.614435202575798
"is_WEEKEND, renewable_HIGH",fossil_LOW,0.08992805755395683,0.8611262985237834,2.582494176771497
"price_LOW, renewable_LOW",time_NIGHT,0.05030261505081649,0.6449487554904832,2.5783228723260265
